Wall time,Step,Value
1744342362.2577085,18,0.0078125
1744342363.6822484,47,0.0234375
1744342364.4015372,62,0.0078125
1744342364.4490407,63,0.0078125
1744342364.8348238,71,0.03125
1744342365.7017727,89,0.015625
1744342366.3923397,103,0.015625
1744342366.5928023,107,0.03125
1744342367.6185644,128,0.078125
1744342369.1560946,160,0.078125
1744342369.346396,164,0.15625
1744342369.723871,172,0.15625
1744342370.623346,191,0.2109375
1744342371.189282,203,0.25
1744342372.4342668,229,0.296875
1744342373.1754231,244,0.2265625
1744342373.925941,259,0.3203125
1744342375.0571058,282,0.3046875
1744342375.2059371,285,0.3125
1744342376.7549658,316,0.375
1744342376.9059873,319,0.421875
1744342378.2575026,346,0.46875
1744342378.8523715,358,0.5
1744342379.2506557,366,0.46875
1744342380.2342563,386,0.375
1744342381.0254927,402,0.453125
1744342381.6547723,415,0.5
1744342382.7103438,436,0.53125
1744342382.7590458,437,0.5546875
1744342383.200056,446,0.5078125
1744342383.9607408,461,0.4453125
1744342384.1626256,465,0.5703125
1744342384.6547482,475,0.5
1744342384.94325,481,0.4609375
1744342386.3777766,510,0.453125
1744342389.2109659,533,0.5390625
1744342389.464567,538,0.59375
1744342389.5623405,540,0.5
1744342390.362567,556,0.4921875
1744342390.6599276,562,0.5546875
1744342392.270634,594,0.5234375
1744342392.3779016,596,0.5234375
1744342394.340041,637,0.5625
1744342394.632961,643,0.59375
1744342394.6804583,644,0.5390625
1744342395.3543584,658,0.671875
1744342395.7886684,667,0.6015625
1744342396.1790595,675,0.625
1744342398.4339695,721,0.6015625
1744342400.5630434,764,0.5625
1744342401.090933,775,0.6484375
1744342401.4262767,782,0.6171875
1744342401.7138004,788,0.6171875
1744342402.4971163,804,0.6015625
1744342405.0683959,857,0.6484375
1744342405.4940498,866,0.6484375
1744342406.4504178,886,0.6015625
1744342409.146365,942,0.609375
1744342411.8869267,999,0.7265625
1744342412.1388292,1004,0.6015625
1744342412.6782196,1015,0.5390625
1744342413.0222547,1022,0.671875
1744342413.2195442,1026,0.6953125
1744342413.3162577,1028,0.671875
1744342413.7438183,1037,0.625
1744342414.7001846,1056,0.6484375
1744342417.169009,1071,0.6328125
1744342417.4496636,1077,0.640625
1744342418.4962053,1098,0.671875
1744342419.0781724,1109,0.6328125
1744342419.1911523,1111,0.65625
1744342419.8867142,1125,0.5703125
1744342420.2216527,1132,0.578125
1744342421.1174264,1151,0.6484375
1744342421.1644719,1152,0.671875
1744342421.7340841,1164,0.5859375
1744342422.2290566,1174,0.640625
1744342422.3283653,1176,0.703125
1744342422.73485,1184,0.65625
1744342424.3791957,1218,0.703125
1744342424.717084,1225,0.6953125
1744342426.0166733,1252,0.7109375
