Wall time,Step,Value
1745031839.4168873,18,0.3125
1745031872.963677,47,0.3125
1745031890.444105,62,0.25
1745031891.6119497,63,0.5625
1745031901.0054598,71,0.375
1745031913.9173455,82,0.4375
1745031922.1547,89,0.4375
1745031938.6725361,103,0.4375
1745031943.3916035,107,0.4375
1745031968.262364,128,0.5625
1745031970.6305733,130,0.5
1745032002.695402,157,0.625
1745032006.2616339,160,0.3125
1745032011.0162923,164,0.4375
1745032020.5580668,172,0.375
1745032043.1830988,191,0.5
1745032057.4895494,203,0.5625
1745032088.4954247,229,0.5
1745032106.4049811,244,0.5
1745032107.5995915,245,0.5625
1745032124.30949,259,0.4375
1745032138.6556919,271,0.5625
1745032151.7969728,282,0.4375
1745032155.383019,285,0.625
1745032192.4149008,316,0.5625
1745032196.0105493,319,0.4375
1745032228.3004122,346,0.5625
1745032242.638404,358,0.5
1745032252.195436,366,0.375
1745032266.5623362,378,0.625
1745032276.117666,386,0.625
1745032280.8934991,390,0.625
1745032295.245061,402,0.75
1745032310.7590034,415,0.75
1745032353.4322693,436,0.625
1745032354.6292007,437,0.5625
1745032365.3862507,446,0.6875
1745032383.3618195,461,0.75
1745032388.145414,465,0.6875
1745032400.0951319,475,0.875
1745032406.094941,480,0.8125
1745032407.2957149,481,0.75
1745032442.1240995,510,0.6875
1745032444.5197973,512,0.5
1745032445.717259,513,0.5
1745032469.657044,533,0.5625
1745032475.6460025,538,0.625
1745032478.0334308,540,0.8125
1745032492.3847265,552,0.75
1745032497.1847312,556,0.5625
1745032504.360138,562,0.6875
1745032537.861092,590,0.5
1745032542.6367948,594,0.625
1745032545.0317183,596,0.75
1745032584.5155497,629,0.625
1745032594.085018,637,0.625
1745032601.2498512,643,0.625
1745032602.444182,644,0.8125
1745032619.2085865,658,0.6875
1745032629.9655666,667,0.4375
1745032639.540451,675,0.6875
1745032694.5967712,721,0.75
1745032699.3786423,725,0.75
1745032722.1166897,744,0.5
1745032746.05387,764,0.625
1745032759.2032855,775,0.375
1745032767.5850427,782,0.4375
1745032774.757675,788,0.5
1745032793.8889327,804,0.8125
1745032811.8389146,819,0.8125
1745032827.3868062,832,0.5
1745032874.8869944,857,0.8125
1745032885.6631765,866,0.625
1745032909.5859199,886,0.875
1745032927.5459216,901,0.75
1745032962.2164695,930,0.625
1745032976.5661955,942,0.75
1745033044.7001646,999,0.75
1745033050.6753063,1004,0.75
1745033063.8562627,1015,0.875
1745033072.2432785,1022,0.8125
1745033077.0262291,1026,0.875
1745033079.4147499,1028,0.625
1745033090.1653857,1037,0.6875
1745033112.9117105,1056,0.875
1745033130.8519952,1071,0.5625
1745033138.0220811,1077,0.6875
1745033163.1427047,1098,0.9375
1745033170.3228776,1104,0.9375
1745033176.302643,1109,0.8125
1745033178.694702,1111,0.625
1745033195.4585562,1125,0.875
1745033203.825211,1132,0.8125
1745033220.5779278,1146,0.75
1745033226.5568602,1151,0.875
1745033227.7537205,1152,0.75
1745033242.1003418,1164,1.0
1745033254.073771,1174,0.8125
1745033256.4703596,1176,0.75
1745033266.0430746,1184,0.75
1745033276.930877,1193,0.8125
1745033306.8384387,1218,0.8125
1745033315.2117937,1225,0.875
1745033340.3260658,1246,0.5625
1745033347.499069,1252,0.6875
1745033349.8881712,1254,0.8125
1745033371.0153646,1257,0.9375
1745033375.8067307,1261,0.875
1745033382.9901307,1267,0.75
1745033387.7698934,1271,0.8125
1745033393.75046,1276,0.75
1745033420.1038475,1298,0.75
1745033452.420789,1325,0.875
1745033476.3434267,1345,1.0
1745033494.2852952,1360,0.875
1745033499.0627036,1364,0.6875
1745033512.205826,1375,0.75
1745033513.400942,1376,0.8125
1745033562.386176,1417,0.875
1745033587.5033586,1438,0.8125
1745033588.7021487,1439,1.0
1745033610.246208,1457,0.75
1745033611.4417584,1458,0.75
1745033654.4882095,1494,0.8125
1745033664.0541906,1502,0.8125
1745033673.6303852,1510,0.8125
1745033677.215282,1513,0.8125
1745033719.067664,1548,0.75
1745033722.6572647,1551,0.8125
1745033739.4145017,1565,0.75
1745033743.0007083,1568,0.8125
1745033748.9701037,1573,0.8125
1745033763.4291532,1585,0.8125
1745033776.5734634,1596,0.8125
1745033782.5458188,1601,0.8125
1745033813.6481318,1627,0.9375
1745033823.2240767,1635,0.875
1745033865.0462053,1670,0.8125
1745033893.3614225,1679,1.0
1745033900.5276685,1685,0.8125
1745033920.8669772,1702,0.9375
1745033923.2539902,1704,0.9375
1745033926.8340309,1707,0.875
1745033931.61181,1711,0.875
1745034008.1263978,1775,0.9375
1745034010.512851,1777,0.875
1745034024.846932,1789,0.875
1745034028.4394982,1792,0.875
1745034094.0825262,1847,0.875
1745034098.851144,1851,0.875
1745034109.5770626,1860,0.9375
1745034117.9367456,1867,0.9375
1745034142.9905252,1888,0.875
1745034156.133417,1899,0.875
1745034159.7120852,1902,0.875
1745034166.8735468,1908,0.9375
1745034168.063432,1909,0.75
1745034185.986184,1924,0.9375
1745034200.2961705,1936,0.8125
1745034205.0701888,1940,0.875
1745034211.0438237,1945,0.875
1745034213.4358878,1947,0.8125
1745034228.9545245,1960,0.875
1745034230.147803,1961,0.8125
1745034236.118207,1966,0.875
1745034251.6276019,1979,0.9375
1745034360.3962314,2070,0.625
1745034371.1492429,2079,0.9375
1745034383.0888386,2089,0.875
1745034413.7653584,2100,1.0
1745034430.4970818,2114,1.0
1745034431.6912115,2115,1.0
1745034436.466551,2119,0.875
1745034437.6580856,2120,0.9375
1745034460.3528292,2139,0.9375
1745034526.0720515,2194,0.9375
1745034544.0953298,2209,1.0
1745034551.2607012,2215,1.0
1745034579.9380941,2239,0.8125
1745034585.9045484,2244,0.8125
1745034675.4433343,2319,0.75
1745034702.9101605,2342,1.0
1745034723.2242599,2359,0.875
1745034765.049329,2394,0.9375
1745034815.215629,2436,0.6875
1745034821.1846704,2441,1.0
1745034836.7020776,2454,0.8125
1745034846.2365746,2462,0.75
1745034849.8095093,2465,0.9375
1745034873.6667523,2485,0.9375
1745034889.151336,2498,0.9375
1745034895.114457,2503,0.875
1745034929.332924,2517,0.9375
1745034931.7189636,2519,0.9375
1745034942.4511423,2528,1.0
1745034944.8356292,2530,0.9375
1745034987.784101,2566,0.875
1745035000.9217288,2577,1.0
1745035002.117131,2578,1.0
1745035014.0512097,2588,1.0
1745035027.2000036,2599,1.0
1745035035.5497537,2606,1.0
1745035060.6375413,2627,0.875
1745035070.19118,2635,1.0
1745035079.7616067,2643,0.9375
1745035112.0108895,2670,1.0
1745035116.7812865,2674,1.0
1745035125.1338284,2681,0.9375
1745035128.71133,2684,1.0
1745035134.669248,2689,1.0
1745035139.45104,2693,1.0
